035 MAIN ST ALGONA,ALGONA,98001-4441,2853,TRUE,Local,20141211,8524,,
634 MAIN ST ALGONA,ALGONA,98001,5704,TRUE,Local,20141114,17759,,
634 MAIN ST ALGONA,ALGONA,98001,5704,FALSE,Local,20141114,17760,,
100 1ST AVE N ALGONA,ALGONA,98001,11447,FALSE,Local,20150423,36466,,
101 1ST AVE N ALGONA,ALGONA,98001,11447,TRUE,Local,20150423,36465,,
100 AUBURN WAY S AUBURN,AUBURN,98002,11191,TRUE,Local,20140221,35729,,
100 AUBURN WAY S AUBURN,AUBURN,98002-5439,8767,TRUE,Local,20140325,27902,,
100 AUBURN WAY S AUBURN,AUBURN,98002-5446,6479,TRUE,Local,20140929,20166,,
100 AUBURN WAY S AUBURN,AUBURN,98002-5446,6479,FALSE,Local,20140929,20167,,
100 AUBURN WAY S AUBURN,AUBURN,98002-5446,6479,FALSE,Local,20140929,20168,,
100 AUBURN WAY S AUBURN,AUBURN,98002-5438,2594,TRUE,Local,20150129,7715,,
100 AUBURN WAY S AUBURN,AUBURN,98002-5439,2754,TRUE,Local,20150330,8217,,
100 AUBURN WAY S AUBURN,AUBURN,98002,11079,TRUE,Local,20150330,46354,,
100 AUBURN WAY S AUBURN,AUBURN,98002,2967,TRUE,Local,20150416,8877,,
100 AUBURN WAY S AUBURN,AUBURN,98002,13641,FALSE,Local,20150417,43320,,
100 AUBURN WAY S AUBURN,AUBURN,98002,13641,TRUE,Local,20150417,43319,,
100 AUBURN WAY S AUBURN,AUBURN,98002-1828,4906,TRUE,Local,20150430,15178,,
100 AUBURN WAY S AUBURN,AUBURN,98002-1828,4906,FALSE,Local,20150430,47267,,
100 AUBURN WAY SOUTH AUBURN,AUBURN,98002,6198,FALSE,Local,20141202,19258,,
100 AUBURN WAY SOUTH AUBURN,AUBURN,98002,6198,TRUE,Local,20141202,19257,,
1001 17TH ST NE AUBURN,AUBURN,98002,12962,TRUE,Local,20141126,41268,,
1001 17TH ST NE AUBURN,AUBURN,98002,11755,TRUE,Local,20140225,37369,,
1001 17TH ST NE AUBURN,AUBURN,98002,13178,FALSE,Local,20140418,41897,,
1001 17TH ST NE AUBURN,AUBURN,98002,13178,TRUE,Local,20140418,41896,,
1001 17TH ST NE AUBURN,AUBURN,98002,12072,TRUE,Local,20140724,38401,,
1001 17TH ST NE AUBURN,AUBURN,98002-6958,3191,TRUE,Local,20141107,9568,,
1001 17TH ST NE AUBURN,AUBURN,98002,10298,TRUE,Local,20141126,32857,,
1001 17TH ST NE AUBURN,AUBURN,98002,4899,TRUE,Local,20141126,15158,,
1001 17TH ST NE AUBURN,AUBURN,98002-6958,2201,TRUE,Local,20141223,6523,,
1001 17TH ST NE AUBURN,AUBURN,98002,9507,TRUE,Local,20141229,30278,,
12700 SE 296TH WAY AUBURN,AUBURN,98092,1926,TRUE,Local,20141230,5762, , 
12702 SE 297TH CT AUBURN,AUBURN,98092-2555,6506,TRUE,Local,20150420,20239, , 
12704 295TH ST SE AUBURN,AUBURN,98092,14448,TRUE,Local,20141229,45812, , 
12715 SE GREEN VALLEY RD AUBURN,AUBURN,98092-8512,1718,TRUE,Local,20141126,33046, , 
12716 SE 296TH WAY AUBURN,AUBURN,98092-3229,3273,FALSE,Local,20150501,9810,,
12722 129th AVE SE LEA HILL,AUBURN,98092,13378,TRUE,Local,20140529,42517,,
12722 129th AVE SE LEA HILL,AUBURN,98092,13378,FALSE,Local,20140529,42518,,
12722 129th AVE SE LEA HILL,AUBURN,98092,13378,FALSE,Local,20140529,42519,,
130 5TH AVE SE PACIFIC,PACIFIC,98047,219,FALSE,Local,20150417,687,,
130 G ST SE AUBURN,AUBURN,98002,11654,FALSE,Local,20140814,37071,,
